MSFT	789019
AAPL	320193
NVDA	1045810
GOOG	1652044
AMZN	1018724
META	1326801
BRK-B	1067983
TSM	1046179
LLY	59478
AVGO	1730168
TSLA	1318605
NVO	353278
V	1403161
JPM	19617
WMT	104169
XOM	34088
UNH	731766
TCEHY	1595585
MC.PA	1596967
MA	1141391
PG	80424
ASML	937966
JNJ	200406
HD	354950
COST	909832
MRK	310158
ORCL	1341439
TM	1094517
CVX	93410
BAC	70858
ABBV	1551152
KO	21344
NESN.SW	1598646
CRM	1108524
RMS.PA	1556179
OR.PA	1627272
NFLX	1065280
AMD	2488
PEP	77476
IHC.AE	1814423
AZN	901832
RELIANCE.NS	1812727
SHEL	1306965
TMO	97745
ADBE	796343
SAP	1000184
WFC	72971
DIS	1744489
LIN	1707925
QCOM	804328
NVS	1114448
BABA	1577552
MCD	63908
PDD	1737806
ROG.SW	84748
TMUS	1283699
ACN	1467373
CSCO	858877
DHR	313616
ABT	1800
GE	40545
INTU	896878
TTE	879764
AMAT	6951
HSBC	1089113
AMGN	318154
TCS.NS	1411688
AXP	4962
CAT	18230
VZ	732712
TXN	97476
PFE	78003
PRX.AS	1695357
MS	895421
IBM	51143
CMCSA	1166691
PM	1413329
SIE.DE	1879726
HDB	1144967
NOW	1373715
UNP	100885
UBER	1543151
NEE	753308
IDEXY	1438656
CDI.PA	1658566
COP	1163165
RY	1000275
BHP	811809
GS	886982
NKE	320187
SCHW	316709
ISRG	1035267
RTX	101829
INTC	50863
SPGI	64040
LOW	60667
AIR.PA	1750
UL	217410
SU.PA	311337
ETN	1551182
HON	773840
CBA.AX	896159
MU	723125
SYK	310764
UPS	1090727
SNY	1121404
ELV	1156039
PGR	80661
BKNG	1075531
T	732717
MUFG	67088
LRCX	707549
BUD	1668717
C	831001
DTE.DE	936340
BLK	1364742
RIO	863064
DE	315189
ALV.DE	1034670
LMT	936468
BA	12927
MDT	1613103
BP	313807
TJX	109198
BSX	885725
PBR	1119639
REGN	872589
ARM	1086600
VRTX	875320
SONY	313838
AI.PA	1577526
ABNB	1559720
CB	896159
ADP	8670
