question,answer
What economic risks is the Company exposed to?,The Company is exposed to economic risk from interest rates and foreign exchange rates.
What strategies does the Company use to manage economic risks?,The Company uses various strategies to manage economic risks.
How might fluctuations in U.S. interest rates impact the Company's investment portfolio and term debt?,Increases in interest rates will negatively affect the fair value of the Company's investment portfolio and increase the interest expense on the Company's term debt.
What measures does the Company take to protect against interest rate risk?,"To protect against interest rate risk, the Company may use derivative instruments, offset interest rate-sensitive assets and liabilities, or control duration of the investment and term debt portfolios."
What is the potential impact on the Company's investment portfolio and term debt resulting from a hypothetical increase in relevant interest rates?,"The potential impact on the Company's investment portfolio and term debt resulting from a hypothetical increase in relevant interest rates is a decline in fair value of $3,089 and $4,022 for 2023 and 2022, respectively, and an increase in annual interest expense of $194 and $201 for 2023 and 2022, respectively."
What is the Company's exposure to foreign exchange rate risk?,The Company's exposure to foreign exchange rate risk relates primarily to the Company being a net receiver of currencies other than the U.S. dollar.
How might changes in exchange rates affect the Company's net sales and gross margins?,"Changes in exchange rates, and in particular a strengthening of the U.S. dollar, will negatively affect the Company's net sales and gross margins as expressed in U.S. dollars."
What measures does the Company take to protect against foreign exchange rate risk?,"To protect against foreign exchange rate risk, the Company may use derivative instruments, offset exposures, or adjust local currency pricing of its products and services."
"What is the maximum expected loss in fair value, for a given confidence interval, to the Company's foreign currency derivative positions due to adverse movements in rates?","The maximum expected loss in fair value, for a given confidence interval, to the Company's foreign currency derivative positions due to adverse movements in rates is the VAR, which is $669 million and $1.0 billion as of September 30, 2023 and September 24, 2022, respectively."
What model did the Company apply to its foreign currency derivative positions to assess the potential impact of fluctuations in exchange rates?,The Company applied a value-at-risk ('VAR') model to its foreign currency derivative positions to assess the potential impact of fluctuations in exchange rates.
