question,answer
What was the year-over-year growth in R&D expense in 2022 driven by?,The year-over-year growth in R&D expense in 2022 was driven primarily by increases in headcount-related expenses and engineering program costs.
"What was the year-over-year growth in selling, general and administrative expense in 2022 driven by?","The year-over-year growth in selling, general and administrative expense in 2022 was driven primarily by increases in headcount-related expenses, advertising and professional services."
"What was the total other income/(expense), net for 2022, 2021 and 2020?","The total other income/(expense), net for 2022, 2021 and 2020 was $ (334) (229) % $ 258 (68) % $ 803."
What caused the decrease in OI&E during 2022 compared to 2021?,"The decrease in OI&E during 2022 compared to 2021 was due primarily to higher realized losses on debt securities, unfavorable fair value adjustments on equity securities and higher interest expense, partially offset by higher foreign exchange gains."
"What were the provision for income taxes, effective tax rate and statutory federal income tax rate for 2022, 2021 and 2020?","The provision for income taxes, effective tax rate and statutory federal income tax rate for 2022, 2021 and 2020 were $ 19,300, $ 14,527, $ 9,680, 16.2 %, 13.3 %, 14.4 % and 21 %, 21 %, 21 % respectively."
Why was the Company's effective tax rate for 2022 lower than the statutory federal income tax rate?,"The Company's effective tax rate for 2022 was lower than the statutory federal income tax rate due primarily to a lower effective tax rate on foreign earnings, tax benefits from share-based compensation and the impact of the U.S. federal R&D credit, partially offset by state income taxes."
Why was the Company's effective tax rate for 2021 lower than the statutory federal income tax rate?,"The Company's effective tax rate for 2021 was lower than the statutory federal income tax rate due primarily to a lower effective tax rate on foreign earnings, tax benefits from share-based compensation and foreign-derived intangible income deductions."
Why was the Company's effective tax rate for 2022 higher compared to 2021?,"The Company's effective tax rate for 2022 was higher compared to 2021 due primarily to a higher effective tax rate on foreign earnings, including the impact to U.S. foreign tax credits as a result of regulatory guidance issued by the U.S. Department of the Treasury in 2022, and lower tax benefits from foreign-derived intangible income deductions and share-based compensation."
"What is the Company's belief regarding its balances of cash, cash equivalents and unrestricted marketable securities?","The Company believes its balances of cash, cash equivalents and unrestricted marketable securities, which totaled $156.4 billion as of September 24, 2022, along with cash generated by ongoing operations and continued access to debt markets, will be sufficient to satisfy its cash requirements and capital return program over the next 12 months and beyond."
What are the Company's material cash requirements?,"The Company's material cash requirements include debt, leases, manufacturing purchase obligations, other purchase obligations and deemed repatriation tax payable."
