question,answer
"What were the provision for income taxes, effective tax rate and statutory federal income tax rate for 2023, 2022 and 2021?","Provision for income taxes, effective tax rate and statutory federal income tax rate for 2023, 2022 and 2021 were as follows (dollars in millions): Provision for income taxes $ 16,741 $ 19,300 $ 14,527 Effective tax rate 14.7 % 16.2 % 13.3 % Statutory federal income tax rate 21 % 21 % 21 %"
Why was the Company's effective tax rate for 2023 and 2022 lower than the statutory federal income tax rate?,"The Company's effective tax rate for 2023 and 2022 was lower than the statutory federal income tax rate due primarily to a lower effective tax rate on foreign earnings, the impact of the U.S. federal R&D credit, and tax benefits from share-based compensation, partially offset by state income taxes."
Why was the Company's effective tax rate for 2023 lower compared to 2022?,"The Company's effective tax rate for 2023 was lower compared to 2022 due primarily to a lower effective tax rate on foreign earnings and the impact of U.S. foreign tax credit regulations issued by the U.S. Department of the Treasury in 2022, partially offset by lower tax benefits from share-based compensation."
"What is the total balance of cash, cash equivalents and unrestricted marketable securities as of September 30, 2023?","The total balance of cash, cash equivalents and unrestricted marketable securities as of September 30, 2023 was $148.3 billion."
What are the Company's material cash requirements?,"The Company's material cash requirements include debt, leases, manufacturing purchase obligations, other purchase obligations, and deemed repatriation tax payable."
"What is the total amount of outstanding fixed-rate notes with varying maturities as of September 30, 2023?","As of September 30, 2023, the Company had outstanding fixed-rate notes with varying maturities for an aggregate principal amount of $106.6 billion."
"What is the total amount of commercial paper outstanding as of September 30, 2023?","As of September 30, 2023, the Company had $6.0 billion of commercial paper outstanding, all of which was payable within 12 months."
"What is the total amount of fixed lease payment obligations as of September 30, 2023?","As of September 30, 2023, the Company had fixed lease payment obligations of $15.8 billion, with $2.0 billion payable within 12 months."
"What is the total amount of manufacturing purchase obligations as of September 30, 2023?","As of September 30, 2023, the Company had manufacturing purchase obligations of $53.1 billion, with $52.9 billion payable within 12 months."
"What is the total amount of other purchase obligations as of September 30, 2023?","As of September 30, 2023, the Company had other purchase obligations of $21.9 billion, with $5.6 billion payable within 12 months."
