question,answer
What risks does the Company face in terms of sharing confidential information with suppliers and third parties?,The Company faces the risk of losses or unauthorized access to or releases of confidential information.
What are the potential consequences of malicious attacks on the Company's systems?,"Malicious attacks could impair the Company's ability to attract and retain customers, impact the Company's stock price, materially damage commercial relationships, and expose the Company to litigation or government investigations."
Why is the Company at a relatively greater risk of being targeted by malicious attacks?,"The Company is at a relatively greater risk of being targeted because of its high profile and the value of the confidential information it creates, owns, manages, stores and processes."
What measures has the Company taken to secure its information technology systems?,"The Company has implemented systems and processes intended to secure its information technology systems and prevent unauthorized access to or loss of sensitive data, and mitigate the impact of unauthorized access, including through the use of encryption and authentication technologies."
What risks does the Company face in terms of investment in new business strategies and acquisitions?,"Investment in new business strategies and acquisitions could disrupt the Company's ongoing business, present risks not originally contemplated and materially adversely affect the Company's business, reputation, results of operations and financial condition."
What risks and uncertainties are associated with the Company's retail stores?,"The Company's retail stores have required substantial investment in equipment and leasehold improvements, information systems, inventory and personnel. The Company also has entered into substantial lease commitments for retail space. Certain stores have been designed and built to serve as high-profile venues to promote brand awareness. Because of their unique design elements, locations and size, these stores require substantially more investment than the Company's more typical retail stores. A decline in sales or the closure or poor performance of an individual store or multiple stores, including as a result of protective public safety measures in response to the COVID-19 pandemic, could result in significant lease termination costs, write-offs of equipment and leasehold improvements and severance costs."
What legal and regulatory compliance risks does the Company face?,"The Company's business, results of operations and financial condition could be adversely impacted by unfavorable results of legal proceedings or government investigations. The Company is subject to various claims, legal proceedings and government investigations that have arisen in the ordinary course of business and have not yet been fully resolved, and new matters may arise in the future. The Company is subject to complex and changing laws and regulations worldwide, which exposes the Company to potential liabilities, increased costs and other adverse effects on the Company's business."
What risks are associated with defending against litigation or responding to government investigations?,"Defending against litigation or responding to government investigations can be expensive, time-consuming and disruptive to the Company's operations. In recognition of these considerations, the Company may enter into agreements or other arrangements to settle litigation and resolve such challenges. There can be no assurance such agreements can be obtained on acceptable terms or that litigation will not occur. These agreements can also significantly increase the Company's cost of sales and operating expenses and require the Company to change its business practices and limit the Company's ability to offer certain products and services."
What risks and costs are associated with compliance with complex and changing laws and regulations worldwide?,"Compliance with complex and changing laws and regulations worldwide is onerous and expensive. New and changing laws and regulations can adversely affect the Company's business by increasing the Company's costs, limiting the Company's ability to offer a product, service or feature to customers, impacting customer demand for the Company's products and services, and requiring changes to the Company's supply chain and its business. New and changing laws and regulations can also create uncertainty about how such laws and regulations will be interpreted and applied. These risks and costs may increase as the Company's products and services are introduced into specialized applications, including health and financial services."
What insurance coverage does the Company maintain for certain types of claims?,"While the Company maintains insurance coverage for certain types of claims, such insurance coverage may be insufficient to cover all losses or all types of claims that may arise."
