question,answer
"What were the provision for income taxes, effective tax rate and statutory federal income tax rate for 2023, 2022 and 2021?","Provision for income taxes, effective tax rate and statutory federal income tax rate for 2023, 2022 and 2021 were as follows (dollars in millions): Provision for income taxes $ 16,741 $ 19,300 $ 14,527 Effective tax rate 14.7 % 16.2 % 13.3 % Statutory federal income tax rate 21 % 21 % 21 %"
Why was the Company's effective tax rate for 2023 and 2022 lower than the statutory federal income tax rate?,"The Company's effective tax rate for 2023 and 2022 was lower than the statutory federal income tax rate due primarily to a lower effective tax rate on foreign earnings, the impact of the U.S. federal R&D credit, and tax benefits from share-based compensation, partially offset by state income taxes."
Why was the Company's effective tax rate for 2023 lower compared to 2022?,"The Company's effective tax rate for 2023 was lower compared to 2022 due primarily to a lower effective tax rate on foreign earnings and the impact of U.S. foreign tax credit regulations issued by the U.S. Department of the Treasury in 2022, partially offset by lower tax benefits from share-based compensation."
"What is the total amount of cash, cash equivalents and unrestricted marketable securities that the Company had as of September 30, 2023?","The Company believes its balances of cash, cash equivalents and unrestricted marketable securities, which totaled $148.3 billion as of September 30, 2023, along with cash generated by ongoing operations and continued access to debt markets, will be sufficient to satisfy its cash requirements and capital return program over the next 12 months and beyond."
What are the Company's material cash requirements?,"The Company's material cash requirements include the following contractual obligations: Debt, Leases, Manufacturing Purchase Obligations, Other Purchase Obligations, and Deemed Repatriation Tax Payable."
"What is the total amount of outstanding fixed-rate notes that the Company had as of September 30, 2023?","As of September 30, 2023, the Company had outstanding fixed-rate notes with varying maturities for an aggregate principal amount of $106.6 billion (collectively the 'Notes'), with $9.9 billion payable within 12 months."
"What is the total amount of commercial paper outstanding that the Company had as of September 30, 2023?","The Company also issues unsecured short-term promissory notes pursuant to a commercial paper program. As of September 30, 2023, the Company had $6.0 billion of commercial paper outstanding, all of which was payable within 12 months."
"What is the total amount of fixed lease payment obligations that the Company had as of September 30, 2023?","The Company has lease arrangements for certain equipment and facilities, including corporate, data center, manufacturing and retail space. As of September 30, 2023, the Company had fixed lease payment obligations of $15.8 billion, with $2.0 billion payable within 12 months."
"What is the total amount of manufacturing purchase obligations that the Company had as of September 30, 2023?","As of September 30, 2023, the Company had manufacturing purchase obligations of $53.1 billion, with $52.9 billion payable within 12 months. The Company's manufacturing purchase obligations are primarily noncancelable."
"What is the total amount of other purchase obligations that the Company had as of September 30, 2023?","The Company's other purchase obligations primarily consist of noncancelable obligations to acquire capital assets, including assets related to product manufacturing, and noncancelable obligations related to supplier arrangements, licensed intellectual property and content, and distribution rights. As of September 30, 2023, the Company had other purchase obligations of $21.9 billion, with $5.6 billion payable within 12 months."
