question,answer
When does the company review its long-lived assets for impairment?,"The company reviews long-lived assets, including capital assets held at its suppliers’ facilities and inventory prepayments, for impairment whenever events or circumstances indicate the assets may not be recoverable."
What happens if the company determines that an impairment has occurred?,"If the company determines that an impairment has occurred, it records a write-down equal to the amount by which the carrying value of the asset exceeds its fair value."
What is the risk associated with the rapid and unpredictable pace of product obsolescence in the industries in which the company competes?,"The risk associated with the rapid and unpredictable pace of product obsolescence in the industries in which the company competes is that the company may incur write-downs, fees, impairments and other charges."
What is the risk associated with the Company's manufacturing purchase obligations?,"The risk associated with the Company's manufacturing purchase obligations is that there is a risk the Company will forecast incorrectly and order or produce excess or insufficient amounts of components or products, or not fully utilize firm purchase commitments."
What is the risk associated with the Company's reliance on third-party intellectual property?,The risk associated with the Company's reliance on third-party intellectual property is that it may not be available to the Company on commercially reasonable terms or at all.
What is the risk associated with the Company's use of intellectual property owned by third parties?,The risk associated with the Company's use of intellectual property owned by third parties is that the Company's products and services can unknowingly infringe existing patents or intellectual property rights of others.
What is the risk associated with the Company's reliance on third-party software developers?,The risk associated with the Company's reliance on third-party software developers is that decisions by customers to purchase its hardware products depend in part on the availability of third-party software applications and services.
"What is the risk associated with the Company's minority market share in the global smartphone, personal computer and tablet markets?","The risk associated with the Company's minority market share in the global smartphone, personal computer and tablet markets is that developers may be less inclined to develop or upgrade software for the Company's products and more inclined to devote their resources to developing and upgrading software for competitors' products with larger market share."
"What is the risk associated with the Company's dependence on carriers, wholesalers, retailers and other resellers?","The risk associated with the Company's dependence on carriers, wholesalers, retailers and other resellers is that the financial condition of these resellers could weaken, these resellers could stop distributing the Company's products, or uncertainty regarding demand for some or all of the Company's products could cause resellers to reduce their ordering and marketing of the Company's products."
What is the risk associated with information technology system failures and network disruptions?,"The risk associated with information technology system failures and network disruptions is that such failures or disruptions can adversely impact the Company's business by, among other things, preventing access to the Company's online services, interfering with customer transactions or impeding the manufacturing and shipping of the Company's products."
