question,answer
What does the Company do to manage its foreign exchange forward and option positions and interest rate swaps?,"The Company regularly reviews its foreign exchange forward and option positions and interest rate swaps, both on a stand-alone basis and in conjunction with its underlying foreign currency and interest rate exposures."
Is there any assurance that the Company's foreign exchange forward and option positions and interest rate swaps will offset more than a portion of the financial impact resulting from movements in either foreign exchange or interest rates?,"No, there can be no assurance these positions will offset more than a portion of the financial impact resulting from movements in either foreign exchange or interest rates."
How might the recognition of the gains and losses related to the Company's foreign exchange forward and option positions and interest rate swaps affect its financial condition and operating results?,"The recognition of the gains and losses related to these instruments may not coincide with the timing of gains and losses related to the underlying economic exposures and, therefore, may adversely affect the Company's financial condition and operating results."
What is the Company's exposure to changes in interest rates?,The Company's exposure to changes in interest rates relates primarily to the Company's investment portfolio and outstanding debt.
What is the Company's investment policy and strategy focused on?,The Company's investment policy and strategy are focused on the preservation of capital and supporting the Company's liquidity requirements.
What is the Company's investment policy generally require?,The Company's investment policy generally requires securities to be investment grade and limits the amount of credit exposure to any one issuer.
What is the impact of a hypothetical 100 basis point increase in interest rates across all maturities on the value of the Company's investment portfolio?,"Based on investment positions as of September 24, 2022 and September 25, 2021, a hypothetical 100 basis point increase in interest rates across all maturities would result in a $4.0 billion and $4.1 billion incremental decline in the fair market value of the portfolio, respectively."
What is the aggregate carrying amount of the Company's outstanding fixed-rate notes and floating- and fixed-rate notes with varying maturities?,"As of September 24, 2022, the Company had outstanding fixed-rate notes and as of September 25, 2021, the Company had outstanding floating- and fixed-rate notes with varying maturities for an aggregate carrying amount of $110.1 billion and $118.7 billion, respectively."
"What is the impact of a 100 basis point increase in market interest rates on the Company's debt as of September 24, 2022 and September 25, 2021?","A 100 basis point increase in market interest rates would cause interest expense on the Company's debt as of September 24, 2022 and September 25, 2021 to increase by $201 million and $186 million on an annualized basis, respectively."
What is the Company's exposure to foreign currency risk?,"In general, the Company is a net receiver of currencies other than the U.S. dollar. Accordingly, changes in exchange rates, and in particular a strengthening of the U.S. dollar, will negatively affect the Company's net sales and gross margins as expressed in U.S. dollars."
